product_name,price,mileage,sold_by,location,rating,no_of_reviews,fuel_type,city_mpg,highway_mpg,drivetrain,engine,exterior_color,interior_color,stock,transmission,vin,contact_info
2019 Toyota Highlander LE,"$34,093 ",5 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,20,27,FWD,2.7L I4 16V MPFI DOHC,Blizzard Pearl,Black,18469,6-Speed Automatic,5TDZARFH0KS060334,(737) 843-6634
2020 Toyota Highlander LE,"$38,986 ",null,Sold by Round Rock Toyota,"Round Rock, TX 78664",-4.8,59 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Midnight Black Metallic,Black,T502821,8-Speed Automatic,5TDZZRAH7LS502821,(866) 910-5682
2019 Toyota Highlander LE,"$36,543 ",5 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Blizzard Pearl,Ash,18823,8-Speed Automatic,5TDZZRFH9KS360589,(737) 843-6634
2019 Toyota Highlander LE,"$29,348 ",40 miles,Sold by AutoNation Toyota South Austin,"Austin, TX 78745",-4.6,945 Reviews,Gasoline,20,27,FWD,Regular Unleaded I-4 2.7 L/163,Blizzard Pearl,Ash,KS059622,Automatic,5TDZARFH0KS059622,(888) 704-0617
2020 Toyota Highlander LE,"$39,911 ",null,Sold by Round Rock Toyota,"Round Rock, TX 78664",-4.8,59 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Ruby Flare Pearl,Black,T004968,8-Speed Automatic,5TDZZRAH1LS004968,(866) 910-5682
2020 Toyota Highlander LE,"$39,596 ",null,Sold by Round Rock Toyota,"Round Rock, TX 78664",-4.8,59 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Magnetic Gray Metallic,Gray,T005481X,8-Speed Automatic,5TDZZRAH0LS005481,(866) 910-5682
2020 Toyota Highlander LE,"$38,573 ",null,Sold by Charles Maund Toyota,"Austin, TX 78758",-4.8,1962 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Blizzard Pearl,Black,T109939,8-Speed Automatic,5TDZZRAH9LS502822,(866) 229-3990
2020 Toyota Highlander LE,"$38,856 ",null,Sold by Round Rock Toyota,"Round Rock, TX 78664",-4.8,59 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Celestial Silver Metallic,Gray,T504495,8-Speed Automatic,5TDZZRAH8LS504495,(888) 806-1579
2020 Toyota Highlander LE,"$38,357 ",null,Sold by Charles Maund Toyota,"Austin, TX 78758",-4.8,1962 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Amber,Black,T109919,8-Speed Automatic,5TDZZRAH4LS006973,(888) 543-9097
2020 Toyota Highlander LE,"$39,631 ",null,Sold by Round Rock Toyota,"Round Rock, TX 78664",-4.8,59 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Blizzard Pearl,Black,T500365X,8-Speed Automatic,5TDZZRAH8LS500365,(866) 910-5682
2020 Toyota Highlander LE,"$39,286 ",null,Sold by Round Rock Toyota,"Round Rock, TX 78664",-4.8,59 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Blueprint,Black,T008563,8-Speed Automatic,5TDZZRAH6LS008563,(866) 910-5682
2020 Toyota Highlander LE,"$38,906 ",5 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Opulent Amber,Black,19629,8-Speed Automatic,5TDZZRAH7LS009608,(737) 843-6634
2020 Toyota Highlander LE,"$39,121 ",null,Sold by Round Rock Toyota,"Round Rock, TX 78664",-4.8,59 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Blizzard Pearl,Black,T501897,8-Speed Automatic,5TDZZRAH2LS501897,(888) 806-1579
2019 Toyota Highlander LE,"$34,068 ",5 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,20,27,FWD,2.7L I4 16V MPFI DOHC,Silver Metallic,Ash,18820,6-Speed Automatic,5TDZARFH6KS057132,(512) 379-5078
2020 Toyota Highlander LE,"$35,999 ",25 miles,Sold by AutoNation Toyota South Austin,"Austin, TX 78745",-4.6,945 Reviews,Gasoline,20,27,FWD,Regular Unleaded V-6 3.5 L/211,Blueprint,Black,LS006206,Automatic,5TDZZRAH5LS006206,(888) 704-0617
2019 Toyota Highlander LE,"$36,118 ",5 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Silver Metallic,Ash,18825,8-Speed Automatic,5TDZZRFH0KS357757,(512) 379-5078
2019 Toyota Highlander LE,"$29,393 ",40 miles,Sold by AutoNation Toyota South Austin,"Austin, TX 78745",-4.6,945 Reviews,Gasoline,20,27,FWD,Regular Unleaded I-4 2.7 L/163,Blizzard Pearl,Black,KS058871,Automatic,5TDZARFH5KS058871,(855) 495-0566
2020 Toyota Highlander LE,"$39,122 ",null,Sold by Charles Maund Toyota,"Austin, TX 78758",-4.8,1962 Reviews,Gasoline,20,T110250,8-Speed Automatic,5TDZZRAH1LS009183,Moon Dust,27,FWD,3.5L V6 24V PDI DOHC,Not provided,(888) 543-9097
2019 Toyota Highlander LE,"$34,235 ",5 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,20,27,FWD,2.7L I4 16V MPFI DOHC,Predawn Gray Mica,Ash,18489,6-Speed Automatic,5TDZARFH8KS060551,(512) 379-5078
2019 Toyota Highlander LE,"$36,391 ",5 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Super White,Ash,915273,8-Speed Automatic,5TDZZRFH2KS330771,(512) 379-5078
2019 Toyota Highlander LE,"$34,235 ",5 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,20,27,FWD,2.7L I4 16V MPFI DOHC,Rouge,Black,18580,6-Speed Automatic,5TDZARFH9KS061269,(512) 379-5078
2020 Toyota Highlander LE,"$38,287 ",null,Sold by Charles Maund Toyota,"Austin, TX 78758",-4.8,1962 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Silver,Black,T110308,8-Speed Automatic,5TDZZRAHXLS009411,(888) 543-9097
2020 Toyota Highlander LE,"$38,706 ",null,Sold by Charles Maund Toyota,"Austin, TX 78758",-4.8,1962 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Midnight Black,Black,T110205,8-Speed Automatic,5TDZZRAH3LS503982,(888) 543-9097
2020 Toyota Highlander LE,"$39,930 ",null,Sold by Round Rock Toyota,"Round Rock, TX 78664",-4.8,59 Reviews,Gasoline,20,27,FWD,3.5L V6 24V PDI DOHC,Blizzard Pearl,Black,T007312,8-Speed Automatic,5TDZZRAH9LS007312,(866) 910-5682
2019 Toyota Highlander LE,"$31,281 ",40 miles,Sold by AutoNation Toyota South Austin,"Austin, TX 78745",-4.6,945 Reviews,Gasoline,20,27,FWD,Regular Unleaded V-6 3.5 L/211,Blizzard Pearl,Ash,KS369268,Automatic,5TDZZRFH1KS369268,(888) 704-0617
2019 Toyota Highlander LE,"$34,093 ",39 miles,Sold by Toyota of Cedar Park,"Cedar Park, TX 78641",-4.9,761 Reviews,Gasoline,20,27,FWD,2.7L I4 16V MPFI DOHC,Blizzard Pearl,Black,17958,6-Speed Automatic,5TDZARFH2KS057886,(737) 843-6634
